"ID","Category","Card Type","Level","Suggested Mode","Depth","Prompt","Design Treatment","Facilitator Note","Rationale"
"COU-01","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What does home feel like with me?","Rose Clay / Deep Teal","Suitable for early playtesting.","Centers warmth and belonging."
"COU-02","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What do I do that makes you feel most loved?","Rose Clay / Deep Teal","Suitable for early playtesting.","Makes love languages concrete."
"COU-03","Couples Edition","Expansion","Level 1","Love & Affection","Low","What is one small habit of mine you secretly appreciate?","Rose Clay / Deep Teal","Suitable for early playtesting.","Invites noticing."
"COU-04","Couples Edition","Expansion","Level 1","Love & Affection","Medium","When do you feel closest to me?","Rose Clay / Deep Teal","Suitable for early playtesting.","Identifies closeness cues."
"COU-05","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What is a compliment from me that would land right now?","Rose Clay / Deep Teal","Suitable for early playtesting.","Creates immediate repair or affection."
"COU-06","Couples Edition","Expansion","Level 1","Love & Affection","High","What is something about us that still feels tender in a good way?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Names softness in the relationship."
"COU-07","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What is one ordinary moment with me you want more of?","Rose Clay / Deep Teal","Suitable for early playtesting.","Turns intimacy into small actions."
"COU-08","Couples Edition","Expansion","Level 1","Love & Affection","Medium","How do you know I am really listening?","Rose Clay / Deep Teal","Suitable for early playtesting.","Builds relational awareness."
"COU-09","Couples Edition","Expansion","Level 1","Conflict & Growth","High","What conflict pattern are we slowly outgrowing?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Frames conflict as progress."
"COU-10","Couples Edition","Expansion","Level 1","Conflict & Growth","High","What do you need from me when we disagree?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Practical conflict support."
"COU-11","Couples Edition","Expansion","Level 2","Conflict & Growth","Medium","What is a repair attempt from me that works?","Rose Clay / Deep Teal","Suitable for early playtesting.","Builds a shared repair language."
"COU-12","Couples Edition","Expansion","Level 2","Conflict & Growth","High","What do you wish I understood about your stress?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Invites empathy around pressure."
"COU-13","Couples Edition","Expansion","Level 2","Conflict & Growth","High","What topic do we avoid, and what would make it safer?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Names avoidance with consent."
"COU-14","Couples Edition","Expansion","Level 2","Conflict & Growth","High","What is one apology you still remember from us?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Explores repair history."
"COU-15","Couples Edition","Expansion","Level 2","Conflict & Growth","High","What boundary would help us love each other better?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Reframes boundaries as care."
"COU-16","Couples Edition","Expansion","Level 2","Conflict & Growth","High","When do you feel alone even when we are together?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Directly addresses loneliness inside closeness."
"COU-17","Couples Edition","Expansion","Level 2","Dreams & Desires","Medium","What dream do you want us to protect together?","Rose Clay / Deep Teal","Suitable for early playtesting.","Future-facing intimacy."
"COU-18","Couples Edition","Expansion","Level 2","Dreams & Desires","Medium","What kind of life are we quietly building?","Rose Clay / Deep Teal","Suitable for early playtesting.","Creates shared narrative."
"COU-19","Couples Edition","Expansion","Level 2","Dreams & Desires","Low","What is one adventure you want with me, big or small?","Rose Clay / Deep Teal","Suitable for early playtesting.","Light future planning."
"COU-20","Couples Edition","Expansion","Level 2","Dreams & Desires","High","What part of your future do you want me to understand better?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Supports individual identity."
"COU-21","Couples Edition","Expansion","Level 3","Dreams & Desires","High","What are you afraid to want too much?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Deep desire and vulnerability."
"COU-22","Couples Edition","Expansion","Level 3","Dreams & Desires","Medium","What would make the next year feel meaningful for us?","Rose Clay / Deep Teal","Suitable for early playtesting.","Converts vision into time horizon."
"COU-23","Couples Edition","Expansion","Level 3","Dreams & Desires","Medium","What do you hope we never stop doing?","Rose Clay / Deep Teal","Suitable for early playtesting.","Protects rituals."
"COU-24","Couples Edition","Expansion","Level 3","Dreams & Desires","High","What would a braver version of us choose?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Bold decision prompt."
"COU-25","Couples Edition","Expansion","Level 3","Shared Memories","High","What is a memory of us that changed how you saw me?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Story and perception."
"COU-26","Couples Edition","Expansion","Level 3","Shared Memories","Medium","What is a small moment from our beginning you still keep?","Rose Clay / Deep Teal","Suitable for early playtesting.","Nostalgic and tender."
"COU-27","Couples Edition","Expansion","Level 3","Shared Memories","Medium","When did we surprise ourselves as a pair?","Rose Clay / Deep Teal","Suitable for early playtesting.","Builds shared pride."
"COU-28","Couples Edition","Expansion","Level 3","Shared Memories","High","What is a hard season we handled better than we knew?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Resilience reflection."
"COU-29","Couples Edition","Expansion","Level 3","Shared Memories","Low","What photo of us deserves a longer story?","Rose Clay / Deep Teal","Suitable for early playtesting.","Accessible memory cue."
"COU-30","Couples Edition","Expansion","Level 3","Shared Memories","Medium","What should we thank our past selves for?","Rose Clay / Deep Teal","Suitable for early playtesting.","Closes with gratitude and continuity."
