"ID","Category","Card Type","Level","Suggested Mode","Depth","Prompt","Design Treatment","Facilitator Note","Rationale"
"ICE-01","Icebreaker","Question","Level 1","Strangers","Low","What color represents your current mood?","Warm Cream","Suitable for early playtesting.","A gentle self-expression opener."
"ICE-02","Icebreaker","Question","Level 1","Speed","Low","Coffee, tea, or neither?","Warm Cream","Suitable for early playtesting.","Simple preference with room for personality."
"ICE-03","Icebreaker","Question","Level 1","Strangers","Low","What app do you use most, and what does it say about you?","Warm Cream","Suitable for early playtesting.","Modern, playful, and revealing."
"ICE-04","Icebreaker","Question","Level 1","All","Low","What is one tiny thing that made today better?","Warm Cream","Suitable for early playtesting.","Builds warmth through ordinary gratitude."
"ICE-05","Icebreaker","Question","Level 1","All","Low","What is a song that always changes your mood?","Warm Cream","Suitable for early playtesting.","Music is an easy bridge into memory."
"ICE-06","Icebreaker","Question","Level 1","All","Medium","What question do you wish people asked you more often?","Warm Cream","Suitable for early playtesting.","Invites agency without forcing depth."
"ICE-07","Icebreaker","Question","Level 1","Strangers","Low","What is your current comfort show, meal, or ritual?","Warm Cream","Suitable for early playtesting.","Creates immediate relatability."
"ICE-08","Icebreaker","Question","Level 1","Teams","Low","What is something you are surprisingly good at?","Warm Cream","Suitable for early playtesting.","Light self-disclosure with confidence."
"ICE-09","Icebreaker","Question","Level 1","All","Low","What is the best compliment you have received recently?","Warm Cream","Suitable for early playtesting.","Opens positive reflection."
"ICE-10","Icebreaker","Question","Level 1","All","Medium","What is a place that instantly makes you feel more like yourself?","Warm Cream","Suitable for early playtesting.","Starts place-based storytelling."
"ICE-11","Icebreaker","Question","Level 2","Strangers","Low","What small object would explain your personality?","Warm Cream","Suitable for early playtesting.","Concrete and visual for groups or video."
"ICE-12","Icebreaker","Question","Level 2","All","Low","What is one thing you always notice first about a room?","Warm Cream","Suitable for early playtesting.","Accessible, sensory, and revealing."
"ICE-13","Icebreaker","Question","Level 2","Family","Medium","What was your favorite way to play as a child?","Warm Cream","Suitable for early playtesting.","Light nostalgia with emotional texture."
"ICE-14","Icebreaker","Question","Level 2","Strangers","Low","What is a trend you secretly understand?","Warm Cream","Suitable for early playtesting.","Gen Z-friendly and playful."
"ICE-15","Icebreaker","Question","Level 2","All","Low","What is something you used to dislike but now love?","Warm Cream","Suitable for early playtesting.","Safe way to discuss change."
"ICE-16","Icebreaker","Question","Level 2","Strangers","Low","What is your ideal low-pressure hangout?","Warm Cream","Suitable for early playtesting.","Reveals social needs gently."
"ICE-17","Icebreaker","Question","Level 2","All","Medium","What is a word people use to describe you that feels accurate?","Warm Cream","Suitable for early playtesting.","Introduces self-perception."
"ICE-18","Icebreaker","Question","Level 2","All","Medium","What is a word people use to describe you that feels wrong?","Warm Cream","Suitable for early playtesting.","Adds nuance without becoming too heavy."
"ICE-19","Icebreaker","Question","Level 2","Teams","Low","What is one thing you would teach a room full of strangers?","Warm Cream","Suitable for early playtesting.","Invites expertise and identity."
"ICE-20","Icebreaker","Question","Level 2","All","Medium","What is your favorite kind of silence?","Warm Cream","Suitable for early playtesting.","A poetic entry into comfort and connection."
"ICE-21","Icebreaker","Question","Level 3","All","Low","What is something that makes you laugh faster than it should?","Warm Cream","Suitable for early playtesting.","Fast path to warmth."
"ICE-22","Icebreaker","Question","Level 3","Family","Low","What is a food memory you still think about?","Warm Cream","Suitable for early playtesting.","Sensory, personal, and inclusive."
"ICE-23","Icebreaker","Question","Level 3","All","Medium","What is a tiny rule you live by?","Warm Cream","Suitable for early playtesting.","Reveals values in a compact way."
"ICE-24","Icebreaker","Question","Level 3","Friends","Low","What would your friends say is your signature move?","Warm Cream","Suitable for early playtesting.","Playful self-awareness."
"ICE-25","Icebreaker","Question","Level 3","All","Low","What is something you are currently curious about?","Warm Cream","Suitable for early playtesting.","Opens future-oriented conversation."
"ICE-26","Icebreaker","Question","Level 3","Speed","Low","What is your favorite way to make a boring day better?","Warm Cream","Suitable for early playtesting.","Useful and easy to answer."
